X,Y,Z,Z_Dither,Bregma_AP,Bregma_DV,Bregma_ML,Mean_Int_Ch1,Mean_Int_Ch2,Mean_Int_Ch3,Mean_Int_Ch4,Hemisphere,ID,Acronym
297.2539,66.8828,215.476,215.6205,-36.8989,-1202.0699,1731.3478,19264.814,1392.1628,0,0,Left,648,MOp5
279.7744,66.6809,215.6502,215.2304,-41.2556,-1197.0226,1294.3592,37481.1585,2563.939,0,0,Left,648,MOp5
263.7758,65.8151,215.5969,214.4911,-39.9233,-1175.3775,894.3957,13089.975,751.725,0,0,Left,1021,MOs6a
271.7689,67.3724,215.598,215.1244,-39.9503,-1214.3097,1094.2218,18182.0962,906.5962,0,0,Left,844,MOp6a
276.7942,67.6304,215.6069,216.4771,-40.1722,-1220.7589,1219.8542,24487.8571,1096.3571,0,0,Left,844,MOp6a
295.2147,68.0185,215.4798,215.2862,-36.9947,-1230.4618,1680.3677,31357.0278,1666.3333,0,0,Left,648,MOp5
287.9943,67.9975,215.5643,216.7198,-39.1063,-1229.9377,1499.8574,17536.8,2160.7,0,0,Left,648,MOp5
166.7924,68.4306,211.4672,210.6745,63.3198,-1240.7641,-1530.1905,9851.5517,3764.3448,0,0,Right,648,MOp5
292.1117,68.0317,215.5218,214.7108,-38.0455,-1230.7919,1602.7922,30251.4062,1533.8438,0,0,Left,648,MOp5
281.9176,68.9202,215.5528,216.6502,-38.8212,-1253.0059,1347.9392,31119.1573,1310,0,0,Left,844,MOp6a
279.8864,68.8425,215.5573,214.5864,-38.9331,-1251.0628,1297.159,24473.6889,1410.9111,0,0,Left,844,MOp6a
299.4076,69.069,215.384,215.567,-34.6003,-1256.7251,1785.1907,20715.5208,1333.6875,0,0,Left,648,MOp5
287.0209,69.066,215.5289,214.6799,-38.2214,-1256.6506,1475.5234,37542.7241,2219.5632,0,0,Left,648,MOp5
271.8243,68.4526,215.5519,216.1363,-38.7975,-1241.3155,1095.6072,20757.9787,874.2553,0,0,Left,844,MOp6a
292.1582,69.1271,215.4837,215.2691,-37.093,-1258.1786,1603.9545,51057.9245,1962.9151,0,0,Left,648,MOp5
296.2921,69.1121,215.4316,214.3567,-35.7904,-1257.8015,1707.3024,35634.087,2448.6196,0,0,Left,648,MOp5
276.851,68.7091,215.5593,214.2325,-38.9821,-1247.7278,1221.2754,19243.3824,1227.9412,0,0,Left,844,MOp6a
277.8612,68.7556,215.5592,215.1087,-38.9806,-1248.8902,1246.531,20973.6071,1002.25,0,0,Left,844,MOp6a
278.9308,69.8772,215.5094,214.4163,-37.736,-1276.9296,1273.2698,18227.0357,1391.2143,0,0,Left,844,MOp6a
179.7803,69.5661,212.0053,211.2572,49.8687,-1269.1518,-1205.4916,12987.7,1938.575,0,0,Right,844,MOp6a
285.0306,70.0982,215.4939,215.3687,-37.3483,-1282.4552,1425.7659,37317.6121,1619.2759,0,0,Left,844,MOp6a
294.2671,70.2228,215.4221,215.4678,-35.5517,-1285.571,1656.6764,29540.7083,2543.25,0,0,Left,648,MOp5
277.9191,69.8324,215.51,216.5959,-37.7508,-1275.8107,1247.9769,23903.8226,1227.2419,0,0,Left,844,MOp6a
